Año,Automóviles,Camiones para pasajeros,Camiones y camionetas para carga,Motocicletas
1980,1557727,4629,176402,66249
1981,1655862,5189,193427,71013
1982,1656040,5321,189684,44178
1983,1491484,4251,171517,36279
1984,1511680,4077,169134,36665
1985,1557667,3124,162736,32412
1986,1286825,3001,109070,20406
1987,1302849,2987,115105,16098
1988,1429624,3029,128886,14755
1989,1458654,3055,131911,15750
1990,1681017,3128,162743,19560
1991,1643840,2678,146404,20701
1992,1930693,3713,186343,22402
1993,2219332,4160,212841,8816
1994,1733315,3082,150441,23985
1995,1838395,3249,154802,30654
1996,1782589,3205,140770,33516
1997,1815534,3226,141681,34617
1998,2218673,4038,168717,51308
1999,2299966,4244,172226,55392
2000,2217592,6498,132198,55356
2001,2138168,9948,101474,55798
2002,2061589,15230,77890,61828
2003,1987753,23317,59744,80058
2004,2278412,25862,60166,82237
2005,2420633,27129,67799,69496
2006,2769540,28649,76321,92121
2007,3068448,28870,88385,125589
2008,3531349,30492,91218,155234
2009,3710495,30340,95969,164709
2010,3898300,30349,102832,0
2011,4117812,30625,108557,0
2012,4326880,29124,66783,59130
2013,4464527,29000,68932,91324
2014,4289202,29044,72462,210020
2015,4494696,29893,76018,260099
2016,4675826,30240,77568,300587
2017,4873995,29982,80181,347851
2018,5144030,29626,82319,406671
2019,5361951,29491,83473,473576
2020,5402107,29411,84783,497481
2021,5445174,29411,88408,543792
2022,5511353,29799,90333,608265
2023,5499836,29906,92921,716400
